SG_UF,Município,SG_PARTIDO,NM_CANDIDATO,porte_municipio,votos_nominais,NR_IDADE_DATA_POSSE,DS_GENERO,DS_COR_RACA,eleito,percentual,ano
SP,São Paulo,PT,EDUARDO MATARAZZO SUPLICY,Grande,301446,75,Masculino,Branca,Sim,0.4085979529845193,2016
SP,São Paulo,PT,SENIVAL PEREIRA DE MOURA,Grande,45320,51,Masculino,Negra,Sim,0.061429440859253115,2016
SP,São Paulo,PT,ALFREDO ALVES CAVALCANTE,Grande,36324,57,Masculino,Negra,Sim,0.049235723957888576,2016
SP,São Paulo,PT,JULIANA CARDOSO,Grande,34949,37,Feminino,Branca,Sim,0.0473719666502656,2016
SP,São Paulo,PT,ANTONIO DONATO MADORMO,Grande,32592,56,Masculino,Branca,Sim,0.044177147760034806,2016
SP,São Paulo,PT,JAIR JOSÉ TATTO,Grande,30989,48,Masculino,Branca,Sim,0.04200434560431145,2016
SP,São Paulo,PT,PAULO BATISTA DOS REIS,Grande,29308,55,Masculino,Negra,Sim,0.03972581757950111,2016
SP,São Paulo,PT,ALESSANDRO GUEDES DOS SANTOS,Grande,26780,36,Masculino,Negra,Sim,0.03629921505319502,2016
SP,São Paulo,PT,ARSELINO ROQUE TATTO,Grande,26596,60,Masculino,Branca,Sim,0.03604981043893857,2016
SP,São Paulo,PT,PAULO ROBERTO FIORILO,Grande,24767,52,Masculino,Branca,Não,0.033570674354834996,2016
SP,São Paulo,PT,NABIL GEORGES BONDUKI,Grande,23269,61,Masculino,Branca,Não,0.031540195484421024,2016
SP,São Paulo,PT,MANOEL DEL RIO BLAS FILHO,Grande,22770,69,Masculino,Branca,Não,0.030863821014236396,2016
RJ,Rio de Janeiro,PT,REIMONT LUIZ OTONI SANTA BARBARA,Grande,19626,55,Masculino,Branca,Sim,0.1931103698674617,2016
SP,São Paulo,PT,SIMÃO PEDRO CHIOVETTI,Grande,18357,52,Masculino,Branca,Não,0.024882176651661727,2016
SP,São Paulo,PT,HELIO RODRIGUES DE ANDRADE,Grande,17891,47,Masculino,Branca,Não,0.02425053235686005,2016
SP,São Paulo,PT,VALDEMAR SILVA,Grande,16872,52,Masculino,Branca,Não,0.02286931875942892,2016
RJ,Rio de Janeiro,PT,LUCIANA GONÇALVES DE NOVAES,Grande,16679,33,Feminino,Branca,Sim,0.16411331188318526,2016
RJ,Rio de Janeiro,PT,EDSON DE OLIVEIRA ROCHA JUNIOR,Grande,13668,60,Masculino,Branca,Não,0.13448652478082476,2016
RJ,Rio de Janeiro,PT,ELTON JORGE HAUAT,Grande,12924,48,Masculino,Branca,Não,0.12716592378309768,2016
PE,Recife,PT,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR PONTES,Grande,11872,32,Feminino,Branca,Sim,0.3057587308128155,2016
GO,Anápolis,PT,ANTONIO ROBERTO OTONI GOMIDE,Grande,11647,56,Masculino,Branca,Sim,0.5103632619078918,2016
SP,São Paulo,PT,EMILIANO ZAPATA FERREIRA MARCELINO SILVA,Grande,11318,26,Masculino,Branca,Não,0.015341094696492205,2016
RJ,Rio de Janeiro,PT,FELIPE DA SILVA PIRES,Grande,10628,27,Masculino,Branca,Não,0.10457439167183241,2016
SP,São Paulo,PT,VERA EUNICE RODRIGUES DA SILVA,Grande,10464,48,Feminino,Negra,Não,0.014183531975975829,2016
BA,Salvador,PT,LUIZ CARLOS SANTOS LIMA,Grande,9797,50,Masculino,Negra,Sim,0.14550288124517316,2016
RS,Porto Alegre,PT,SOFIA CAVEDON NUNES,Grande,9670,53,Feminino,Branca,Sim,0.16633411311407734,2016
RJ,Rio de Janeiro,PT,LOURIVAL CASULA FILHO,Grande,8954,56,Masculino,Branca,Não,0.0881030394269465,2016
SE,Aracaju,PT,JOSÉ IRAN BARBOSA FILHO,Grande,8809,50,Masculino,Negra,Sim,0.486416344561016,2016
RJ,Rio de Janeiro,PT,ROBERTO MONTEIRO SOARES,Grande,8614,46,Masculino,Branca,Não,0.084757603487125,2016
SP,Santos,PT,TELMA SANDRA AUGUSTO DE SOUZA,Grande,8604,72,Feminino,Branca,Sim,0.6872204472843451,2016
SP,São Paulo,PT,NAZARENO ANTÔNIO DA SILVA,Grande,8252,33,Masculino,Negra,Não,0.011185254765458003,2016
SP,São Paulo,PT,LUIZ CLAUDIO MARCOLINO,Grande,7960,46,Masculino,Negra,Não,0.010789460486311889,2016
RS,Porto Alegre,PT,MARCELO SGARBOSSA,Grande,7585,41,Masculino,Branca,Sim,0.13046993257190037,2016
